tag_type,tag,baseline,rows,MAE,RMSE,sMAPE
hashtag,#stocks,baseline_last_value,10,654.2,902.3701014550516,31.687086088586362
cashtag,$AMZN,baseline_last_value,10,340.0,428.99953379928047,34.55602175731233
cashtag,$AAPL,baseline_last_value,10,312.8,478.740012950662,30.861529295621715
cashtag,$SPX,baseline_last_value,10,263.1,414.68530236795226,30.868460360483716
cashtag,$JPM,baseline_last_value,10,251.6,364.90217867258616,54.522682454313994
cashtag,$TSLA,baseline_last_value,10,203.4,278.37744161479753,32.18920626601582
cashtag,$FB,baseline_last_value,10,184.2,227.8385393211605,29.531180870507825
hashtag,#stockmarket,baseline_last_value,10,169.0,247.9923385913363,30.155385038945163
hashtag,#investing,baseline_last_value,10,160.4,224.85728807401375,29.60530837220321
cashtag,$SPY,baseline_last_value,10,137.3,237.81484394377068,20.6558067654712
hashtag,#investment,baseline_last_value,10,133.6,169.7833914138836,37.085971345844044
cashtag,$DIS,baseline_last_value,10,128.8,165.10663221082308,36.170167766840706
hashtag,#stock,baseline_last_value,10,119.6,163.09199857749,34.13259651790391
cashtag,$NFLX,baseline_last_value,10,111.3,149.13852620969539,37.372242775853735
cashtag,$MSFT,baseline_last_value,10,109.3,140.75404079457186,22.98740712483922
cashtag,$QQQ,baseline_last_value,10,97.6,119.81819561318723,30.99919947342999
hashtag,#trading,baseline_last_value,10,84.0,129.33135737322175,19.61120871473586
cashtag,$GOOG,baseline_last_value,10,68.7,84.95233957931941,23.51290338989784
cashtag,$BAC,baseline_last_value,10,63.3,85.41721138037697,35.10657998435094
cashtag,$ES,baseline_last_value,10,56.8,83.68990381163071,37.981335307294515
hashtag,#options,baseline_last_value,10,54.9,68.78444591620986,45.44428928193062
hashtag,#sp500,baseline_last_value,10,43.5,65.47900426854397,39.511762466196735
cashtag,$GOOGL,baseline_last_value,10,40.2,50.53513629149525,29.53926416116663
hashtag,#markets,baseline_last_value,10,36.9,59.932461988475,29.51975174256038
hashtag,#forex,baseline_last_value,10,35.1,47.561539083591484,23.994428656602956
hashtag,#daytrading,baseline_last_value,10,25.2,29.82281006209844,27.33801380607033
hashtag,#business,baseline_last_value,10,23.2,29.322346427255784,16.391830150043265
hashtag,#finance,baseline_last_value,10,21.6,30.65615761963655,24.27839706596069
hashtag,#economy,baseline_last_value,10,20.6,23.31523107327054,26.830754247902227
hashtag,#money,baseline_last_value,10,15.8,24.63331078032346,10.55632299882902
