split,model,rows,MAE,RMSE,sMAPE
validation,linear_regression_pooled,330,126.36984099132854,227.8958645512222,40.0200346837496
test,linear_regression_pooled,300,120.78536893217358,208.1320035204438,29.222381404380666
validation,ridge_regression_pooled,330,130.62016133691375,226.08979817783626,41.445292845908746
test,ridge_regression_pooled,300,117.16366829724139,207.9286847741505,27.448187517881344
validation,random_forest_pooled,330,124.68710929472682,228.40536008969954,38.027572605967585
test,random_forest_pooled,300,106.68319475010341,190.4295586847528,24.780037561629083
validation,hist_gradient_boosting_pooled,330,124.135462584834,230.3348011027391,38.2764666752985
test,hist_gradient_boosting_pooled,300,107.29160298195886,180.73236317583707,25.658921582943712
test,baseline_last_value,300,132.2,260.0800389623676,30.433236474923834
validation,baseline_last_value,330,147.64848484848486,278.857680655574,44.9642694253447
